Restaurant ID,Restaurant Name,City,Address,Longitude,Latitude,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes
17501247,Sushi Thai Restaurant,Macon,"2624 Watson Blvd Ste D, Warner Robins, GA 31093",-83.6665,32.6184,"Japanese, Sushi, Thai",10,1,3.7,Yellow,Good,153
17501281,The Mellow Mushroom,Macon,"710 Lake Joy Road, Warner Robins, GA 31088",-83.691044,32.552684,"Pizza, Sandwich, Vegetarian",25,2,3.8,Yellow,Good,323
17501143,El Jalisciense Mexican Restaurant,Macon,"1224 Russell Pkwy, Warner Robins, GA 31088",-83.64935,32.594666,Mexican,10,1,4.1,Green,Very Good,181
17501292,Greek Village,Macon,"1801 Watson Blvd, Warner Robins, GA 31093",-83.636618,32.6176839,"American, Greek, Seafood",25,2,4,Green,Very Good,316
17501308,Martin's BBQ,Macon,"102 S Armed Forces Boulevard, Warner Robins, GA 31088",-83.600201,32.619321,BBQ,25,2,4.2,Green,Very Good,288
17501301,Thai Pepper,Macon,"1806 Russell Parkway, Warner Robins, GA 31088",-83.665557,32.593264,"Japanese, Sushi, Thai",10,1,4,Green,Very Good,232
17501268,Zen Japanese Steakhouse and Sushi Bar,Macon,"4086 Watson Blvd, Warner Robins, GA 31093",-83.7184,32.6147,"Japanese, Steak, Sushi",40,3,4.1,Green,Very Good,314
17482142,Triangle Restaurant,Mc Millan,"21053 State Hwy M28, Mc Millan, MI 49853",-85.7363,46.3718,"Breakfast, Burger",10,1,2.4,Red,Poor,17
17606621,HI Lite Bar & Lounge,Miller,"109 N Broadway Ave, Miller, SD 57362",-98.9891,44.5158,,0,1,3.4,Orange,Average,11
17687832,Vince's Restaurant & Pizzeria,Monroe,"619 4th Ave, Monroe, WI 53566",-89.653487,42.606306,"Italian, Pizza",25,2,3.6,Yellow,Good,65
17534788,The Artesian Restaurant,Ojo Caliente,"Ojo Caliente Mineral Springs Resort And Spa 50 Los Banos Rd, Ojo Caliente, NM 87549",-106.057666,36.313638,"American, International, Southwestern",40,3,3.6,Yellow,Good,30
17061237,Ceví_che Tapas Bar & Restaurant,Orlando,"125 West Church Street, Orlando, FL 32801",-81.381077,28.540432,"Spanish, Tapas",40,3,4.4,Green,Very Good,981
17057397,'Ohana,Orlando,"1600 Seven Seas Drive, Lake Buena Vista, FL 32830",-81.585226,28.405437,Hawaiian,45,3,4.5,Dark Green,Excellent,1151
17058534,Earl of Sandwich,Orlando,"1750 E Buena Vista Drive, Lake Buena Vista, FL 32830",-81.514608,28.372858,"American, Sandwich, Salad",35,3,4.7,Dark Green,Excellent,1341
17060320,Raglan Road Irish Pub and Restaurant,Orlando,"1640 E Buena Vista Drive, Lake Buena Vista, FL 32830",-81.517725,28.371338,Irish,50,4,4.3,Green,Very Good,782
17057925,Cafí© Tu Tu Tango,Orlando,"8625 International Drive, Orlando, FL 32819",-81.469986,28.440344,"New American, Tapas",40,3,4.6,Dark Green,Excellent,1293
17060869,Texas de Brazil,Orlando,"5259 International Drive, Orlando, FL 32819",-81.4510725,28.4676808,"Brazilian, Steak",100,4,4.6,Dark Green,Excellent,2324
17057591,Bahama Breeze Island Grille,Orlando,"8849 International Drive, Orlando, FL 32819",-81.471526,28.437065,Caribbean,45,3,4.3,Green,Very Good,910
17059541,Maggiano's Little Italy,Orlando,"9101 International Drive,Orlando, FL 32819",-81.471447,28.433235,Italian,50,4,4.4,Green,Very Good,886
17064266,Hawkers Asian Street Fare,Orlando,"1103 N Mills Avenue, Orlando, FL 32803",-81.364347,28.560505,"Asian, Thai",35,3,4.6,Dark Green,Excellent,1293
17064405,Tako Cheena by Pom Pom,Orlando,"932 North Mills Avenue, Orlando, FL 32803",-81.364547,28.557845,"Asian, Latin American, Vegetarian",10,1,4.4,Green,Very Good,570
17060516,Seasons 52 Fresh Grill,Orlando,"7700 West Sand Lake Road, Orlando, FL 32819",-81.487978,28.448175,American,60,4,4.4,Green,Very Good,1685
17059012,Hollerbach's Willow Tree Cafí©,Orlando,"205 East 1st Street, Sanford, FL 32771",-81.266871,28.811653,German,40,3,4.8,Dark Green,Excellent,1699
17061296,Pom Pom's Teahouse and Sandwicheria,Orlando,"67 North Bumby Avenue, Orlando, FL 32803",-81.351467,28.543571,"American, Sandwich, Tea",25,2,4.9,Dark Green,Excellent,1457
17061205,Yellow Dog Eats,Orlando,"1236 Hempel Avenue,Gotha, FL 34786",-81.522987,28.527592,"American, BBQ, Sandwich",35,3,4.9,Dark Green,Excellent,1252
17064031,Tibby's New Orleans Kitchen,Orlando,"2203 Aloma Avenue, Winter Park, FL 32792",-81.322631,28.601088,Cajun,25,2,4.7,Dark Green,Excellent,1412
17066603,The Coop,Orlando,"610 W Morse Boulevard, Winter Park, FL 32789",-81.357219,28.597366,"Southern, Cajun, Soul Food",25,2,3.6,Yellow,Good,432
17057797,Bosphorous Turkish Cuisine,Orlando,"108 S Park Ave, Winter Park, FL 32789",-81.3508344,28.5976271,"Mediterranean, Turkish",40,3,4.2,Green,Very Good,568
17061253,Ethos Vegan Kitchen,Orlando,"601-B South New York Avenue, Winter Park, FL 32789",-81.352921,28.592857,"American, Breakfast, Vegetarian",25,2,4.4,Green,Very Good,797
17059060,Hillstone,Orlando,"215 South Orlando Avenue, Winter Park, FL 32789",-81.36526,28.596682,,40,3,4.4,Green,Very Good,1158
17061231,The Ravenous Pig,Orlando,"565 W Fairbanks Avenue, Winter Park, FL 32789",-81.356024,28.593297,Pub Food,40,3,4.4,Green,Very Good,1998
17580453,Cactus Flower Cafe Navarre,Pensacola,"8725 Ortega Park Dr, Navarre, FL 32566",-86.8573393,30.4025979,"Mexican, Southwestern, Tex-Mex",25,2,4.2,Green,Very Good,635
17580142,McGuire's Irish Pub & Brewery,Pensacola,"600 E Gregory Street, Pensacola, FL 32502",-87.2027,30.4179,"Burger, Bar Food, Steak",40,3,4.9,Dark Green,Excellent,2238
